ID,Region of residence,Age of Subject,Time spent on Online Class,Rating of Online Class experience,Medium for online class,Time spent on self study,Time spent on fitness,Time spent on sleep,Time spent on social media,Prefered social media platform,Time spent on TV,Number of meals per day,Change in your weight,Healthissueduringlockdown,Stress busters,Time utilized,Relationship with around,What you miss the most
R89,1,18,3,0,1,4,1,7,1,1,0,4,1,1,Listening to music,0,0,Eating outside
R90,0,19,4,2,1,3,1,7,3,0,2,3,2,0,Listening to music,1,1,School/college
R91,0,25,4,0,1,3,1,7,1,0,0,3,1,1,Cricket,0,0,Eating outside
R92,1,19,0,0,1,4,1,8,1,1,0,3,2,0,Listening to music,0,1,School/college
R93,1,19,4,0,0,0,0,8,2,0,1.5,3,2,1,Anime Manga,0,0,School/college
R94,1,20,4,3,1,2,2,8,6,0,0,3,0,0,Sleeping,1,1,School/college
R95,1,20,2,2,1,3,1,5,4,0,1,3,2,0,Listening to music,0,1,School/college
R96,1,19,5,3,2,3,1,8,2,7,0,2,1,0,Reading,0,1,Travelling
R97,1,19,3,2,1,1,0,10,4,1,0,3,1,0,Listening to music,0,1,School/college
R98,1,22,2,2,1,0,0,12,4,0,2,3,2,0,Online gaming,0,1,Eating outside
R99,0,21,1,3,1,3,2,10,1,2,2,4,2,1,Meditation,0,1,Colleagues
R100,1,21,1,0,1,2,1,8,1,1,0,3,2,0,Listening to music,0,0,School/college
R101,0,16,6,1,1,2,2,7,2,2,1,3,1,0,Scrolling through social media,1,1,Travelling
R102,0,21,3,2,0,5,0,8,7,3,1,2,1,0,Watching web series,0,1,School/college
R103,0,21,4,0,1,4,1,7,1,1,0,4,0,1,Listening to music,1,0,Travelling
R104,0,16,3,0,1,3,1,7,3,2,1,2,1,0,Listening to music,0,0,Friends and School
R105,1,21,2,0,1,7,2,8,0.5,0,0,5,2,0,Reading books,1,1,Gym
R106,0,23,4,4,0,6,1,8,0.3,1,0,3,2,0,Talking to your relatives,1,0,Travelling
R107,1,19,2,0,1,1.5,1,7,2,2,0,2,1,0,Listening to music,0,0,School/college
R108,1,20,1,0,1,2,1,8,1,0,0,3,2,0,Listening to music,0,0,School/college
R109,1,18,2,0,1,3,1,8,1,0,1,3,0,0,Listening to music,1,1,Roaming around freely
R110,0,10,3,3,2,3,0,10,1,2,4,3,1,0,Online gaming,1,0,Colleagues
R111,0,20,0,0,1,2,2,8,0.15,3,0.3,2,0,0,Talking to your relatives,1,1,School/college
R112,1,21,3,2,1,3,0,11,2,1,0,2,2,1,Sleep,0,1,School/college
R113,1,19,1,0,1,4,1,8,1,2,0,4,1,0,Sleep,0,1,School/college
R114,0,14,5,2,0,4,1,7,4,0,1,5,2,0,Scrolling through social media,0,0,"Friends,Romaing and traveling"
R115,1,18,2,0,1,3,1,10,2,1,0,3,1,0,Online gaming,0,1,School/college
R116,1,18,3,0,1,6,0,7,3,2,1,3,1,0,Reading books,1,0,School/college
R117,0,24,4,4,0,8,1,8,2,2,2,3,2,0,Online surfing,1,1,"Friends , relatives"
R118,0,14,3,3,1,5,1,12,0.3,0,1,3,1,0,Sleeping,1,1,Colleagues
R119,0,21,4,3,0,2,2,7,2,0,1,3,2,0,Dancing,1,1,Travelling
R120,1,19,2,2,1,6,1,6,1,0,0,3,2,0,Watching web series,0,1,School/college
R121,1,18,2.5,2,1,2,1,8,1,2,0,4,1,0,Listening to music,0,1,Travelling
R122,0,23,6,2,0,5,1,6,1,3,0,3,1,0,Meditation,1,1,School/college
R123,0,21,4,2,1,4,1,8,1,2,0,3,1,0,Meditation,1,1,"Friends , relatives"
R124,1,18,5,0,1,3,0,9,7,1,0,3,2,0,Watching web series,1,0,Roaming around freely
R125,1,19,1,0,1,2,0,7,1,1,0,2,2,1,Sleep,0,0,School/college
R126,0,20,5,2,1,4,1,7,2,1,1,3,2,0,Meditation,1,1,School/college
R127,1,20,2,2,1,3,0.5,6.5,1,1,0.5,3,1,0,Listening to music,1,1,Roaming around freely
